MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,ALLOCATION_AMOUNT_NUM,RECOMMENDED_DATE_PARSED,RECOMMENDED_DATE,PROJECT_ID,PROJECT_AGE_DAYS,FUTURE_DATE_FLAG,MISSING_DATE_FLAG,MISSING_AMOUNT_FLAG,ZERO_OR_NEGATIVE_AMOUNT_FLAG,MISSING_CRITICAL_FIELDS
Shri Jasbir Singh,"WS/MP377/2023-2024/37095 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Punjab,KHADOOR SAHIB,Deputy Commissioner Tarn Taran_IDA,,,KHADUR-SAHIB-10,Mian Wind (138),10/15/2023,750000,Approved by IDA,Sanctioned,Lok Sabha,750000,,,MPLADS_6881d593122619ef,,0,1,0,0,0
SHRI Anil Agarwal,WS/MP193/2023-2024/2418 - Lighting of public spaces,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRAE GHAZIABAD_IDA,,,BHOJPUR,Hirdaipur Bhandaula,7/6/2023,224425,Approved by IDA,Sanctioned,Rajya Sabha,224425,6/7/2023,6/7/2023,MPLADS_b147c76e85c7751c,1185,0,0,0,0,0
Sunil Kumar Soni,WS/MP567/2023-2024/9381 - Providing drains and gutters for public drainage,Normal/Others,Chhattisgarh,RAIPUR,DISTRICT COLLECTOR RAIPUR_IDA,,,TILDA,Khauna,8/14/2023,500000,Approved by IDA,Sanctioned,Lok Sabha,500000,,,MPLADS_de7397967b6201c9,,0,1,0,0,0
Upendra Singh Rawat,WS/MP811/2023-2024/29852 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BARABANKI(SC),DISTRICT MAGISTRATE BARABANKI_IDA,,,FATEHPUR,Bishunpur,10/2/2023,20000,Approved by IDA,Sanctioned,Lok Sabha,20000,2/10/2023,2/10/2023,MPLADS_ff2417ea61be88d3,1302,0,0,0,0,0
Prof Ram Gopal Yadav,"WS/MP183/2023-2024/19974 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRATE FIROZABAD_IDA,,,MADANPUR,Garhrauli,9/14/2023,800000,Approved by IDA,Sanctioned,Rajya Sabha,800000,,,MPLADS_f79502a834282390,,0,1,0,0,0
Dr Mahendrabhai Munjapara,"WS/MP326/2023-2024/24017 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Gujarat,SURENDRANAGAR,DISTRICT COLLECTOR SURENDRANAGAR_IDA,,,DASADA,Visavadi,9/21/2023,300000,Approved by IDA,Sanctioned,Lok Sabha,300000,,,MPLADS_612c329ca53f182c,,0,1,0,0,0
Vijay Baghel,"WS/MP568/2023-2024/14853 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG_IDA,,,DURG,Chikhli,9/1/2023,520000,Approved by IDA,Sanctioned,Lok Sabha,520000,1/9/2023,1/9/2023,MPLADS_64c6a47d7d4b3058,1334,0,0,0,0,0
Manish Tewari,WS/MP711/2023-2024/36028 - Purchase of mobile water tankers,Normal/Others,Punjab,ANANDPUR SAHIB,Deputy Commissioner Shahid Bhagat Singh Nagar_ida,,,BALACHAUR,Buthgarh (445),10/12/2023,100000,Approved by IDA,Sanctioned,Lok Sabha,100000,12/10/2023,12/10/2023,MPLADS_71bb68fd56faac42,999,0,0,0,0,0
Upendra Singh Rawat,WS/MP811/2023-2024/27551 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BARABANKI(SC),DISTRICT MAGISTRATE BARABANKI_IDA,,,FATEHPUR,Jarkha,9/27/2023,20000,Approved by IDA,Sanctioned,Lok Sabha,20000,,,MPLADS_766aff5805f92089,,0,1,0,0,0
SHRI. Rakesh Sinha,WS/MP002/2023-2024/24852 - Lighting of public spaces,Normal/Others,Bihar,Nominated Rajya Sabha,DISTRICT MAGISTRAE PILIBHIT_IDA,,,LALAURIKHERA,Nizam Dandi,9/22/2023,283000,Approved by IDA,Sanctioned,Rajya Sabha,283000,,,MPLADS_184754c8251549a1,,0,1,0,0,0
BP Saroj Bholanath,WS/MP469/2023-2024/11455 - Lighting of public spaces,Normal/Others,Uttar Pradesh,MACHHLISHAHR(SC),DISTRICT MAGISTRATE JAUNPUR_IDA,,,BARASATHI,Ganeshpur,8/20/2023,178000,Approved by IDA,Sanctioned,Lok Sabha,178000,,,MPLADS_4d3ed39133bc960a,,0,1,0,0,0
Vijay Baghel,"WS/MP568/2023-2024/22543 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG_IDA,,,DHAMDHA,Nandauri,9/18/2023,840000,Approved by IDA,Sanctioned,Lok Sabha,840000,,,MPLADS_202c7204deeccf5b,,0,1,0,0,0
Shri Arun Kumar Sagar,WS/MP492/2023-2024/6594 - Street lights,Normal/Others,Uttar Pradesh,SHAHJAHANPUR(SC),DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,,DADROL,Kalyanpur Ta.Chamraura,7/27/2023,129700,Approved by IDA,Sanctioned,Lok Sabha,129700,,,MPLADS_6f27b954d549309c,,0,1,0,0,0
Brijendra Singh,WS/MP593/2023-2024/14354 - Purchase of mobile water tankers,Normal/Others,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR_IDA,,,HISAR-II,Bir Hisar(145),8/30/2023,158000,Approved by IDA,Sanctioned,Lok Sabha,158000,,,MPLADS_57d644c2e875d7ad,,0,1,0,0,0
Seyed Tufail Hasan,WS/MP464/2023-2024/5069 - Lighting of public spaces,Normal/Others,Uttar Pradesh,MORADABAD,DISTRICT MAGISTRATE MORADABAD_IDA,Moradabad,41,,,7/20/2023,173600,Approved by IDA,Sanctioned,Lok Sabha,173600,,,MPLADS_a68f03093055558c,,0,1,0,0,0
Sunil Kumar Pintu,WS/MP421/2023-2024/14100 - Street lights,Normal/Others,Bihar,SITAMARHI,DISTRICT PLANNING OFFICER SITAMARHI_IDA,,,NANPUR,Mohni Sakrauli,8/29/2023,498500,Approved by IDA,Sanctioned,Lok Sabha,498500,,,MPLADS_69cae08f1323ba56,,0,1,0,0,0
Maulana Ajmal Badruddin,WS/MP534/2023-2024/70302 - Construction of rooms and halls in school and colleges,Normal/Others,Assam,DHUBRI,DEPUTY COMMISSIONER DHUBRI_IDA,,,Dhubri,Gossaidubi,12/27/2023,230300,Approved by IDA,Sanctioned,Lok Sabha,230300,,,MPLADS_74034977aa466ed4,,0,1,0,0,0
Smt. Mahua Maji,WS/MP007/2023-2024/3139 - Installing tube-wells and borewells,Normal/Others,Jharkhand,Sitting Rajya Sabha,DEPUTY COMMISSIONER RANCHI_IDA,Ranchi,18,,,7/11/2023,460800,Approved by IDA,Sanctioned,Rajya Sabha,460800,11/7/2023,11/7/2023,MPLADS_1ee3dad65ad0fdac,1032,0,0,0,0,0
Shri Shambhu Sharan Patel,"WS/MP001/2023-2024/37288 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Bihar,Sitting Rajya Sabha,DISTRICT PLANNING OFFICER PATNA_IDA,,,BARH,Salarpur,10/16/2023,1500000,Approved by IDA,Sanctioned,Rajya Sabha,1500000,,,MPLADS_1fa860ceaa34e7c2,,0,1,0,0,0
CN Annadurai,"WS/MP508/2023-2024/68013 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,TIRUVANNAMALAI,DISTRICT COLLECTOR TIRUVANNAMALAI_IDA,,,PUDUPALAYAM,Thorapadi,12/22/2023,300000,Approved by IDA,Sanctioned,Lok Sabha,300000,,,MPLADS_da18389870182658,,0,1,0,0,0
Shri Amar Singh,WS/MP380/2023-2024/22293 - Construction of boundary walls of existing public and community buildings,Normal/Others,Punjab,FATEHGARH SAHIB(SC),Deputy Commissioner Malerkotla_IDA,,,Ahmedgarh,Chupka (104),9/18/2023,200000,Approved by IDA,Sanctioned,Lok Sabha,200000,,,MPLADS_322e1d8b1186e31c,,0,1,0,0,0
Upendra Singh Rawat,WS/MP811/2023-2024/27901 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BARABANKI(SC),DISTRICT MAGISTRATE BARABANKI_IDA,,,SURATGANJ,Lalapur,9/28/2023,20000,Approved by IDA,Sanctioned,Lok Sabha,20000,,,MPLADS_89f559c97e7e0bf6,,0,1,0,0,0
Gulam Ali (NRS),WS/MP839/2023-2024/33894 - Lighting of public spaces,Normal/Others,Jammu And Kashmir,Nominated Rajya Sabha,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,SHAHJAHANPUR,LODHIPUR,,,10/7/2023,243000,Approved by IDA,Sanctioned,Rajya Sabha,243000,7/10/2023,7/10/2023,MPLADS_7cd153d2c1d14526,1152,0,0,0,0,0
Arun Sao,"WS/MP426/2023-2024/19277 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Chhattisgarh,BILASPUR,Collector Mungeli_IDA,,,MUNGELI,Rohrakhurd,9/12/2023,500000,Approved by IDA,Sanctioned,Lok Sabha,500000,12/9/2023,12/9/2023,MPLADS_15ca831a0b28167a,1000,0,0,0,0,0
Shri Javed Ali Khan,WS/MP187/2023-2024/1366 - Street lights,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRAE PILIBHIT_IDA,,,PURANPUR,Madhopur Kalan T. Gajraula,6/21/2023,283200,Approved by IDA,Sanctioned,Rajya Sabha,283200,,,MPLADS_499543d18b78ebe6,,0,1,0,0,0
Alok Kumar Suman,WS/MP413/2023-2024/15850 - Lighting of public spaces,Normal/Others,Bihar,GOPALGANJ (SC),DISTRICT PLANNING OFFICER GOPALGANJ_IDA,Gopalganj,13,,,9/3/2023,975000,Approved by IDA,Sanctioned,Lok Sabha,975000,3/9/2023,3/9/2023,MPLADS_76072107a23f9e54,1275,0,0,0,0,0
Mukesh Rajput,WS/MP797/2023-2024/3433 - Street lights,Normal/Others,Uttar Pradesh,FARRUKHABAD,DISTRICT MAGISTRAE FARRUKHABAD_IDA,,,RAJEPUR,Gandhi,7/13/2023,198200,Approved by IDA,Sanctioned,Lok Sabha,198200,,,MPLADS_9cc9ab8798ae08dc,,0,1,0,0,0
BP Saroj Bholanath,WS/MP469/2023-2024/11444 - Lighting of public spaces,Normal/Others,Uttar Pradesh,MACHHLISHAHR(SC),DISTRICT MAGISTRATE JAUNPUR_IDA,,,BARASATHI,Papravan,8/20/2023,178000,Approved by IDA,Sanctioned,Lok Sabha,178000,,,MPLADS_82e7ab2997656248,,0,1,0,0,0
Brijendra Singh,WS/MP593/2023-2024/14699 - Purchase of mobile water tankers,Normal/Others,Haryana,HISAR,Deputy Commissioner Jind_IDA,,,UCHANA,Kakrod (104),9/1/2023,157000,Approved by IDA,Sanctioned,Lok Sabha,157000,1/9/2023,1/9/2023,MPLADS_55dfa06a0245ed27,1334,0,0,0,0,0
Smt Phulo Devi Netam,"WS/MP224/2023-2024/8103 - Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Chhattisgarh,Sitting Rajya Sabha,DISTRICT COLLECTOR KONDAGAON_IDA,,,BADERAJPUR,Badbattar,8/5/2023,2000000,Approved by IDA,Sanctioned,Rajya Sabha,2000000,5/8/2023,5/8/2023,MPLADS_41db699f52a60088,1215,0,0,0,0,0
Shri Mithilesh Kumar,WS/MP190/2023-2024/36991 - Street lights,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,,POWAYAN,Milikia J. Saraiyan,10/14/2023,243000,Approved by IDA,Sanctioned,Rajya Sabha,243000,,,MPLADS_3e199768b5fb1cf6,,0,1,0,0,0
Rajdeep Roy,WS/MP494/2023-2024/27697 - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Assam,SILCHAR,DEPUTY COMMISSIONER CACHAR_IDA,,,BARJALENGA,Irongmara (CT),9/27/2023,300000,Approved by IDA,Sanctioned,Lok Sabha,300000,,,MPLADS_5d359ac6664f5156,,0,1,0,0,0
Upendra Singh Rawat,WS/MP811/2023-2024/27158 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BARABANKI(SC),DISTRICT MAGISTRATE BARABANKI_IDA,,,FATEHPUR,Tanda Nijamali,9/27/2023,20000,Approved by IDA,Sanctioned,Lok Sabha,20000,,,MPLADS_afe49093e68a8c9e,,0,1,0,0,0
Mohammad Sadique,"WS/MP715/2023-2024/9306 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Punjab,FARIDKOT(SC),Deputy Commissioner Moga_IDA,,,MOGA-I,Doudhar Garbi (97),8/14/2023,1000000,Approved by IDA,Sanctioned,Lok Sabha,1000000,,,MPLADS_166bf6a25f4ec0c6,,0,1,0,0,0
Shri Kunwar Danish Ali,WS/MP408/2023-2024/38831 - Lighting of public spaces,Normal/Others,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA,,,HASANPUR,Shekhupur Jhakri,10/20/2023,167300,Approved by IDA,Sanctioned,Lok Sabha,167300,,,MPLADS_4eba3a503022bcf8,,0,1,0,0,0
Smt Jaskaur Meena,WS/MP387/2023-2024/14872 - Construction of community centers and community halls,Normal/Others,Rajasthan,DAUSA(ST),DISTRICT COLLECTOR DAUSA_IDA,,,SIKRAI,Sikrai,9/1/2023,1000000,Approved by IDA,Sanctioned,Lok Sabha,1000000,1/9/2023,1/9/2023,MPLADS_f1359d4ae8c92413,1334,0,0,0,0,0
Sudarshan Bhagat,WS/MP866/2023-2024/12611 - Construction of public staircase to access road over bridge,Normal/Others,Jharkhand,LOHARDAGA(ST),DEPUTY COMMISSIONER RANCHI_IDA,,,BERO,Nehalukapariya,8/23/2023,1460000,Approved by IDA,Sanctioned,Lok Sabha,1460000,,,MPLADS_b7d1f3370857604c,,0,1,0,0,0
Bhola Singh,WS/MP814/2023-2024/1122 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BULANDSHAHR(SC),DISTRICT MAGISTRATE BULANDSHAHR_IDA,,,UNCHAGAON,Thana Gajraula,6/14/2023,152000,Approved by IDA,Sanctioned,Lok Sabha,152000,,,MPLADS_eaca0fff4db83ce5,,0,1,0,0,0
Shri Vivek K Tankha,WS/MP106/2023-2024/5659 - Construction of common work sheds/ common covered sitting area,Normal/Others,Madhya Pradesh,Sitting Rajya Sabha,DISTRICT COLLECTOR BHOPAL_IDA,,,BERASIA,Kolu Khedi,7/22/2023,250000,Approved by IDA,Sanctioned,Rajya Sabha,250000,,,MPLADS_943aadbaed444b5b,,0,1,0,0,0
Smt Preneet Kaur,WS/MP379/2023-2024/10406 - Construction of community centers and community halls,Normal/Others,Punjab,PATIALA,DEPUTY COMMISSIONER PATIALA_IDA,,,PATRAN,Arno (205),8/17/2023,720000,Approved by IDA,Sanctioned,Lok Sabha,720000,,,MPLADS_a9d11b5aec39bf0b,,0,1,0,0,0
Dr Mahendrabhai Munjapara,"WS/MP326/2023-2024/24049 - Construction of roads, approach roads, link roads and pathways",Normal/Others,Gujarat,SURENDRANAGAR,DISTRICT COLLECTOR SURENDRANAGAR_IDA,,,DASADA,Zezra,9/21/2023,250000,Approved by IDA,Sanctioned,Lok Sabha,250000,,,MPLADS_486c6ad83f1d33ac,,0,1,0,0,0
Ajay Tamta,WS/MP477/2023-2024/30095 - Construction of footpaths and pedestrian ways,Normal/Others,Uttarakhand,ALMORA(SC),DISTRICT MAGISTRATE ALMORA_IDA,,,LAMGARA,Pubhaun,10/2/2023,150000,Approved by IDA,Sanctioned,Lok Sabha,150000,2/10/2023,2/10/2023,MPLADS_dbedfbfd4b741c87,1302,0,0,0,0,0
Bhola Singh,WS/MP814/2023-2024/4011 - Lighting of public spaces,Normal/Others,Uttar Pradesh,BULANDSHAHR(SC),DISTRICT MAGISTRATE BULANDSHAHR_IDA,,,JAHANGIRABAD,Parawana Mahmudpur,7/16/2023,152000,Approved by IDA,Sanctioned,Lok Sabha,152000,,,MPLADS_f81e2976c79fbf9d,,0,1,0,0,0
Gulam Ali (NRS),WS/MP839/2023-2024/33841 - Lighting of public spaces,Normal/Others,Jammu And Kashmir,Nominated Rajya Sabha,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,,POWAYAN,Bela J. Banigawan,10/7/2023,243000,Approved by IDA,Sanctioned,Rajya Sabha,243000,7/10/2023,7/10/2023,MPLADS_86481ecce7a3a098,1152,0,0,0,0,0
Gulam Ali (NRS),WS/MP839/2023-2024/34061 - Lighting of public spaces,Normal/Others,Jammu And Kashmir,Nominated Rajya Sabha,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,,BHAWAL KHERA,Niyamatpur,10/7/2023,243000,Approved by IDA,Sanctioned,Rajya Sabha,243000,7/10/2023,7/10/2023,MPLADS_fcafeee1341f9739,1152,0,0,0,0,0
Shri Javed Ali Khan,WS/MP187/2023-2024/1426 - Street lights,Normal/Others,Uttar Pradesh,Sitting Rajya Sabha,DISTRICT MAGISTRAE PILIBHIT_IDA,,,PURANPUR,Mujha Kalan,6/21/2023,283200,Approved by IDA,Sanctioned,Rajya Sabha,283200,,,MPLADS_fcf395ff16a80e8d,,0,1,0,0,0
Sudip Bandyopadhyay,WS/MP867/2023-2024/67993 - Lighting of public spaces,Normal/Others,West Bengal,KOLKATA UTTAR,COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA,Kolkata,29,,,12/22/2023,900000,Approved by IDA,Sanctioned,Lok Sabha,900000,,,MPLADS_ab2460b8fd1f7853,,0,1,0,0,0
Suresh Pujari,WS/MP705/2023-2024/19423 - Construction of buildings for community cultural activities,Normal/Others,Odisha,BARGARH,DISTRICT COLLECTOR BARAGARH_IDA,,,,,9/13/2023,400000,Approved by IDA,Sanctioned,Lok Sabha,400000,,,MPLADS_1c4b352654d75787,,0,1,0,0,0
